congress,icpsr_id,state_code,cd,state,party_code,name,first_dimension,second_dimension
1,9062,1,98,CONNECT,5000,STURGES,0.637,0.327
1,9706,1,98,CONNECT,5000,WADSWORTH,0.749,0.134
1,8457,1,98,CONNECT,5000,SHERMAN,0.706,0.2
1,4766,1,98,CONNECT,5000,HUNTINGTON,0.748,0.121
1,9489,1,98,CONNECT,5000,TRUMBULL,0.772,0.061
1,9676,11,1,DELAWAR,5000,VINING,0.425,-0.354
1,4854,44,1,GEORGIA,4000,JACKSON,-0.405,0.545
1,379,44,2,GEORGIA,4000,BALDWIN,0.047,-0.095
1,6071,44,3,GEORGIA,4000,MATHEWS,-0.392,0.063
1,8983,52,1,MARYLAN,4000,STONE,0.08,0.232
1,8363,52,2,MARYLAN,4000,SENEY,0.291,0.311
1,2010,52,3,MARYLAN,4000,CONTEE,-0.032,-0.261
1,8693,52,4,MARYLAN,4000,SMITH  W.,0.46,0.254
1,3430,52,5,MARYLAN,5000,GALE,0.283,-0.959
1,1538,52,6,MARYLAN,5000,CARROLL,0.132,-0.801
1,154,3,1,MASSACH,5000,AMES,0.874,0.106
1,3674,3,2,MASSACH,5000,GOODHUE,0.88,-0.069
1,3541,3,3,MASSACH,4000,GERRY,0.678,0.735
1,8344,3,4,MASSACH,5000,SEDGWICK,0.87,0.252
1,7224,3,5,MASSACH,5000,PARTRIDGE,0.837,0.545
1,9268,3,6,MASSACH,5000,THACHER,0.825,0.457
1,5611,3,7,MASSACH,5000,LEONARD,0.882,0.284
1,3857,3,8,MASSACH,4000,GROUT,0.391,0.921
1,3610,4,98,NEW HAM,5000,GILMAN,0.47,-0.323
1,3299,4,98,NEW HAM,5000,FOSTER,0.842,0.492
1,5713,4,98,NEW HAM,4000,LIVERMORE,0.716,0.621
1,878,12,98,NEW JER,5000,BOUDINOT,0.649,-0.019
1,1387,12,98,NEW JER,5000,CADWALADER,0.648,-0.762
1,8278,12,98,NEW JER,5000,SCHUREMAN,0.673,0.236
1,8544,12,98,NEW JER,5000,SINNICKSON,0.651,-0.451
1,3237,13,1,NEW YOR,4000,FLOYD,0.51,0.828
1,5498,13,2,NEW YOR,5000,LAURANCE,0.689,0.242
1,649,13,3,NEW YOR,5000,BENSON,0.813,0.363
1,4193,13,4,NEW YOR,4000,HATHORN,0.226,0.974
1,8511,13,5,NEW YOR,5000,SILVESTER,0.635,0.371
1,9629,13,6,NEW YOR,4000,VANRENSSELA,0.41,0.912
1,259,47,1,NORTH C,4000,ASHE,-0.557,-0.727
1,10193,47,2,NORTH C,4000,WILLIAMSON,0.11,-0.126
1,800,47,3,NORTH C,4000,BLOODWORTH,-0.219,0.976
1,8869,47,4,NORTH C,5000,STEELE,0.263,-0.323
1,8374,47,5,NORTH C,5000,SEVIER,-0.078,0.208
1,4390,14,98,PENNSYL,4000,HIESTER,0.22,-0.14
1,6784,14,98,PENNSYL,5000,MUHLENGBRG,0.177,-0.348
1,4156,14,98,PENNSYL,5000,HARTLEY,0.457,-0.153
1,8312,14,98,PENNSYL,5000,SCOTT,0.37,-0.547
1,10405,14,98,PENNSYL,5000,WYNKOOP,0.644,-0.765
1,1859,14,98,PENNSYL,5000,CLYMER,0.61,-0.792
1,3196,14,98,PENNSYL,5000,FITZSIMONS,0.533,-0.221
1,8702,48,1,SOUTH C,5000,SMITH  W.L.,0.634,0.28
1,1260,48,2,SOUTH C,4000,BURKE,0.19,0.606
1,4695,48,3,SOUTH C,5000,HUGER,0.631,0.776
1,9088,48,4,SOUTH C,4000,SUMTER,-0.708,0.458
1,9501,48,5,SOUTH C,4000,TUCKER,0.268,0.561
1,10006,40,1,VIRGINI,5000,WHITE,0.183,0.068
1,1118,40,2,VIRGINI,4000,BROWN,-0.111,-0.489
1,6625,40,3,VIRGINI,4000,MOORE,-0.103,-0.356
1,5564,40,4,VIRGINI,5000,LEE,0.295,-0.05
1,5903,40,5,VIRGINI,4000,MADISON,0.023,-0.425
1,1936,40,6,VIRGINI,4000,COLES,-0.289,0.23
1,7156,40,7,VIRGINI,4000,PAGE,0.056,0.08
1,7199,40,8,VIRGINI,4000,PARKER,0.065,0.128
1,786,40,9,VIRGINI,4000,BLAND,-0.462,0.887
1,3825,40,10,VIRGINI,5000,GRIFFIN,0.232,-0.089
2,4433,1,98,CONNECT,5000,HILLHOUSE,0.622,-0.065
2,5543,1,98,CONNECT,5000,LEARNED,0.836,0.305
