congress,icpsr_id,state_code,cd,state,party_code,name,first_dimension,second_dimension
1,4998,1,0,CONNECT,5000,JOHNSON,0.996,-0.084
1,2936,1,0,CONNECT,5000,ELLSWORTH,0.512,0.58
1,507,11,0,DELAWAR,4000,BASSETT,0.092,-0.185
1,7762,11,0,DELAWAR,5000,READ,0.227,-0.302
1,3128,44,0,GEORGIA,4000,FEW,-0.741,-0.602
1,3877,44,0,GEORGIA,4000,GUNN,-0.144,-0.916
1,1536,52,0,MARYLAN,5000,CARROLL,0.17,-0.614
1,4333,52,0,MARYLAN,5000,HENRY,0.117,-0.66
1,2307,3,0,MASSACH,5000,DALTON,0.789,0.615
1,9028,3,0,MASSACH,5000,STRONG,0.625,0.78
1,5449,4,0,NEW HAM,5000,LANGDON,0.081,-0.392
1,10272,4,0,NEW HAM,4000,WINGATE,-0.398,0.912
1,2943,12,0,NEW JER,5000,ELMER,0.358,-0.095
1,7231,12,0,NEW JER,5000,PATERSON,0.947,0.321
1,8282,13,0,NEW YOR,5000,SCHUYLER,0.93,-0.367
1,5270,13,0,NEW YOR,5000,KING,0.777,-0.261
1,4212,47,0,NORTH C,5000,HAWKINS,-0.137,-0.771
1,5012,47,0,NORTH C,5000,JOHNSTON,-0.044,-0.644
1,5891,14,0,PENNSYL,4000,MACLAY,-0.478,0.329
1,6712,14,0,PENNSYL,5000,MORRIS,0.616,-0.65
1,8845,5,0,RHODE I,4000,STANTON,-0.066,0.053
1,3315,5,0,RHODE I,5000,FOSTER,0.236,0.601
1,1346,48,0,SOUTH C,5000,BUTLER,-0.537,-0.843
1,4837,48,0,SOUTH C,5000,IZARD,0.335,-0.599
1,5565,40,0,VIRGINI,4000,LEE,-0.369,-0.534
1,9747,40,0,VIRGINI,5000,WALKER,0.119,-0.993
2,2936,1,0,CONNECT,5000,ELLSWORTH,0.512,0.58
2,8457,1,0,CONNECT,5000,SHERMAN,-0.509,0.051
2,507,11,0,DELAWAR,5000,BASSETT,0.092,-0.185
2,7762,11,0,DELAWAR,5000,READ,0.227,-0.302
2,3877,44,0,GEORGIA,4000,GUNN,0.037,-0.909
2,3128,44,0,GEORGIA,4000,FEW,-0.741,-0.602
2,4333,52,0,MARYLAN,5000,HENRY,0.117,-0.66
2,1536,52,0,MARYLAN,5000,CARROLL,0.17,-0.614
2,9028,3,0,MASSACH,5000,STRONG,0.625,0.78
2,1384,3,0,MASSACH,5000,CABOT,0.642,0.36
2,5449,4,0,NEW HAM,5000,LANGDON,-0.229,-0.288
2,10272,4,0,NEW HAM,4000,WINGATE,-0.398,0.912
2,2576,12,0,NEW JER,5000,DICKINSON,0.615,-0.7
2,8150,12,0,NEW JER,5000,RUTHERFURD,0.895,-0.284
2,5270,13,0,NEW YOR,5000,KING,0.724,-0.269
2,1302,13,0,NEW YOR,4000,BURR,-0.838,-0.545
2,5012,47,0,NORTH C,5000,JOHNSTON,-0.044,-0.644
2,4212,47,0,NORTH C,4000,HAWKINS,-0.137,-0.771
2,6712,14,0,PENNSYL,5000,MORRIS,0.616,-0.65
2,8845,5,0,RHODE I,4000,STANTON,-0.066,0.053
2,3315,5,0,RHODE I,5000,FOSTER,0.216,0.617
2,1346,48,0,SOUTH C,4000,BUTLER,-0.537,-0.843
2,4837,48,0,SOUTH C,5000,IZARD,0.335,-0.599
2,7989,6,0,VERMONT,4000,ROBINSON,-0.794,0.231
2,956,6,0,VERMONT,4000,BRADLEY,-0.128,-0.07
2,6594,40,0,VIRGINI,4000,MONROE,-0.601,-0.786
2,5565,40,0,VIRGINI,4000,LEE,-0.369,-0.534
3,2936,1,0,CONNECT,5000,ELLSWORTH,0.512,0.58
3,6574,1,0,CONNECT,5000,MITCHELL,0.731,-0.15
3,9676,11,0,DELAWAR,5000,VINING,0.392,-0.07
3,4854,44,0,GEORGIA,4000,JACKSON,-0.343,-0.44
3,3877,44,0,GEORGIA,4000,GUNN,0.219,-0.902
3,2866,51,0,KENTUCK,4000,EDWARDS,-0.673,-0.739
3,1118,51,0,KENTUCK,4000,BROWN,-0.582,-0.286
3,7564,52,0,MARYLAN,5000,POTTS,0.429,-0.903
3,4333,52,0,MARYLAN,5000,HENRY,0.117,-0.66
3,9028,3,0,MASSACH,5000,STRONG,0.625,0.78
3,1384,3,0,MASSACH,5000,CABOT,0.642,0.36
3,5449,4,0,NEW HAM,4000,LANGDON,-0.54,-0.184
3,5713,4,0,NEW HAM,5000,LIVERMORE,0.116,0.993
3,3361,12,0,NEW JER,5000,FRELINGHUYS,0.953,-0.302
3,8150,12,0,NEW JER,5000,RUTHERFURD,0.895,-0.284
3,5270,13,0,NEW YOR,5000,KING,0.671,-0.276
3,1302,13,0,NEW YOR,4000,BURR,-0.838,-0.545
3,4212,47,0,NORTH C,4000,HAWKINS,-0.137,-0.771
3,6012,47,0,NORTH C,4000,MARTIN,-0.321,-0.947
3,6712,14,0,PENNSYL,5000,MORRIS,0.616,-0.65
3,8070,14,0,PENNSYL,5000,ROSS,1.44,-0.55
3,951,5,0,RHODE I,5000,BRADFORD,0.515,0.479
3,3315,5,0,RHODE I,5000,FOSTER,0.195,0.632
3,1346,48,0,SOUTH C,4000,BUTLER,-0.537,-0.843
3,4837,48,0,SOUTH C,5000,IZARD,0.335,-0.599
3,7989,6,0,VERMONT,4000,ROBINSON,-0.794,0.231
3,956,6,0,VERMONT,4000,BRADLEY,-0.091,-0.119
3,9215,40,0,VIRGINI,4000,TAYLOR,-0.923,-0.385
3,6594,40,0,VIRGINI,4000,MONROE,-0.601,-0.786
4,9489,1,0,CONNECT,1,TRUMBULL,0.607,0.5
4,9676,11,0,DELAWAR,1,VINING,0.392,-0.07
4,5494,11,0,DELAWAR,1,LATIMER,0.697,-0.061
4,3877,44,0,GEORGIA,1,GUNN,0.401,-0.895
4,9189,44,0,GEORGIA,200,TATTNALL,-0.155,-0.957
4,6000,51,0,KENTUCK,1,MARSHALL,-0.213,0.977
4,1118,51,0,KENTUCK,200,BROWN,-0.516,-0.344
4,4333,52,0,MARYLAN,1,HENRY,0.117,-0.66
4,7564,52,0,MARYLAN,1,POTTS,0.429,-0.903
4,9028,3,0,MASSACH,1,STRONG,0.625,0.78
4,1384,3,0,MASSACH,1,CABOT,0.642,0.36
4,5449,4,0,NEW HAM,200,LANGDON,-0.851,-0.08
4,5713,4,0,NEW HAM,1,LIVERMORE,0.116,0.993
4,8150,12,0,NEW JER,1,RUTHERFURD,0.895,-0.284
4,3361,12,0,NEW JER,1,FRELINGHUYS,0.953,-0.302
4,1302,13,0,NEW YOR,200,BURR,-0.838,-0.545
4,5270,13,0,NEW YOR,1,KING,0.618,-0.283
4,6012,47,0,NORTH C,200,MARTIN,-0.321,-0.947
4,800,47,0,NORTH C,200,BLOODWORTH,-0.457,-0.306
4,8070,14,0,PENNSYL,1,ROSS,1.199,-0.418
4,719,14,0,PENNSYL,1,BINGHAM,0.76,-0.65
4,951,5,0,RHODE I,1,BRADFORD,0.515,0.479
4,3315,5,0,RHODE I,1,FOSTER,0.175,0.647
4,7763,48,0,SOUTH C,1,READ,0.768,-0.371
4,1346,48,0,SOUTH C,200,BUTLER,-0.537,-0.843
4,7164,6,0,VERMONT,1,PAINE,0.319,0.705
4,7989,6,0,VERMONT,200,ROBINSON,-0.794,0.231
4,9238,40,0,VIRGINI,200,TAZEWELL,-0.957,-0.289
4,6063,40,0,VIRGINI,200,MASON,-1.554,-0.168
5,4433,1,0,CONNECT,1,HILLHOUSE,0.386,0.515
5,9452,1,0,CONNECT,1,TRACY,0.554,0.581
5,5494,11,0,DELAWAR,1,LATIMER,0.697,-0.061
5,1823,11,0,DELAWAR,1,CLAYTON,0.665,0.107
5,3877,44,0,GEORGIA,1,GUNN,0.582,-0.888
5,9189,44,0,GEORGIA,200,TATTNALL,-0.155,-0.957
5,1118,51,0,KENTUCK,200,BROWN,-0.45,-0.402
